,R,vel,velerr
0,0.002533746841897839,65.0,16.0
1,0.0211745447148637,41.7,2.5
2,0.0252273498335783,44.48,0.8700000047683716
3,0.02595437482552298,7.0,38.0
4,0.02986431755354022,27.0,12.0
5,0.03912929301772732,61.0,13.0
6,0.05368747752692062,56.0,3.299999952316284
7,0.05937919382848796,64.0,81.0
8,0.06179658402526971,43.8,2.299999952316284
9,0.06201006954879927,43.18,3.509999990463257
10,0.07633633504533978,32.72,4.769999980926514
11,0.07900243229622858,54.61,1.620000004768372
12,0.07944690263871643,45.94,2.180000066757202
13,0.08786674018269036,31.0,12.0
14,0.1216309812072046,34.79,5.059999942779541
15,0.1233521261423846,49.4,3.299999952316284
16,0.1241448831506681,40.0,14.0
17,0.1377832398590439,48.2,3.910000085830688
18,0.1448198324550175,65.0,10.0
19,0.1461733596241035,49.41,3.160000085830688
20,0.1619484248035915,46.11,3.220000028610229
21,0.1625735132275236,49.9,1.450000047683716
22,0.1860459331687333,48.4,2.299999952316284
23,0.2141300382812641,48.09,8.300000190734863
24,0.2219292378276603,41.73,0.6700000166893005
25,0.2291347912964739,40.22,3.579999923706055
26,0.2856743520246779,42.9,2.200000047683716
27,0.3886200284811977,41.9,3.650000095367432
28,0.4026453279089666,47.5,2.599999904632568
29,0.4551121071596371,80.0,12.0
30,0.4690396601336688,33.0,11.0
31,0.4869449233295167,7.0,11.0
32,0.5320781163699316,30.0,15.0
33,0.5471716374298288,32.0,12.0
