,R,vel,velerr
0,0.1307280828966186,-139.0,6.0
1,0.1612672473216014,-124.0,6.0
2,0.1812147509273135,-123.0,6.0
3,0.247618352710189,-123.0,7.0
4,0.292931990015764,-129.0,5.0
5,0.3565744723860362,-132.0,6.0
6,0.378146768920273,-107.0,6.0
7,0.3815898688949746,-109.0,9.0
8,0.385825774561225,-142.0,26.0
9,0.3976128755609735,-128.0,6.0
10,0.4069215310883688,-114.0,6.0
11,0.4237491863823905,-120.0,7.0
12,0.4348890512274216,-133.0,7.0
13,0.4450463979295495,-98.0,7.0
14,0.4668792792781195,-130.0,6.0
15,0.4689773074406819,-115.0,6.0
16,0.4726779595638186,-116.0,6.0
17,0.475575657541818,-111.0,6.0
18,0.4844041003541569,-145.0,6.0
19,0.5580213950035648,-141.0,5.0
20,0.56220069192173,-161.0,9.0
21,0.5761562219740538,-161.0,6.0
22,0.5771443486280765,-128.0,6.0
23,0.5853124295739996,-119.0,6.0
24,0.5941868180803754,-126.0,7.0
25,0.5998616636641588,-130.0,6.0
26,0.6207746449793912,-129.0,7.0
27,0.6773257387122054,-107.0,9.0
28,0.6889405565493426,-109.0,6.0
29,0.7318294254447717,-147.0,7.0
30,0.7462344183406932,-133.0,6.0
31,0.7463766664941714,-116.0,8.0
32,0.7801779991169189,-144.0,6.0
33,0.7852249393496145,-149.0,7.0
34,0.7873374290177889,-128.0,7.0
35,0.7910741582170014,-131.0,6.0
36,0.8047031852084011,-48.0,16.0
37,0.8194227096006136,-142.0,7.0
38,0.8207179247670582,-119.0,7.0
39,0.8232841273691452,-156.0,6.0
40,0.8257614014602125,-98.0,8.0
41,0.8479389756427678,-134.0,8.0
42,0.8569120810234683,-44.0,13.0
43,0.865118751714328,-148.0,6.0
44,0.8748101987155114,-141.0,7.0
45,0.8953687260037282,-130.0,6.0
46,0.9374625511307636,-111.0,7.0
47,0.9392419975911785,-28.0,11.0
48,0.9632000507120466,-128.0,7.0
49,1.013289079753765,-123.0,6.0
50,1.067868389140035,-115.0,6.0
51,1.069542123894043,-145.0,9.0
52,1.090459287666335,-103.0,6.0
53,1.111193523452406,-112.0,8.0
54,1.119774715073589,-137.0,6.0
55,1.156143886415597,-118.0,6.0
56,1.167521202658778,-139.0,8.0
57,1.184606364874139,-123.0,7.0
58,1.229600157997765,-130.0,9.0
59,1.259995885017525,-84.0,7.0
60,1.2694928876917,-153.0,6.0
61,1.321520007996565,-107.0,8.0
62,1.462558189877834,-124.0,6.0
63,1.477109600266407,-127.0,6.0
64,1.58655123346764,-126.0,6.0
65,1.612891065926965,-189.0,7.0
66,1.695687300552406,-117.0,5.0
67,1.769625413890576,-149.0,6.0
68,1.77462359393211,-146.0,6.0
69,1.853035581224589,-144.0,6.0
70,1.947731532274189,-148.0,6.0
71,1.949553586593991,-111.0,7.0
72,2.008642522921082,-140.0,6.0
73,2.06274337100503,-130.0,5.0
74,2.150476997786164,-162.0,6.0
75,2.197632411709557,-148.0,6.0
76,2.217161359367902,-144.0,6.0
77,2.292523043989718,-132.0,7.0
78,2.379192179822044,-130.0,5.0
79,2.405945906519718,-151.0,5.0
80,2.454818929463892,-151.0,6.0
81,2.504755494188254,-147.0,9.0
