Galaxy, mass/kev, 1sl, 1su, 2sl, 2su
Fornax Dwarf Spheroidal, 0.971900, 0.676184, 1.144581, 0.390843, 1.318223
Fornax Dwarf Spheroidal(gravsphere repo), 0.435195, 0.266299, 0.673077, 0.152511, 1.036206
Fornax Dwarf Spheroidal(J.Alvey data), 0.555594(0.726279), 0.337039(0.391712), 0.781427(1.370187), 0.165347(0.157021), 1.129944(3.134664)
Fornax Dwarf Spheroidal(J.Alvey data with sigma_DM calc), 0.593609(0.783917), , , , 
Sculptor Dwarf Galaxy, 1.679537, 1.309235, 1.885042, 0.856133, 2.084922
Sculptor Dwarf Galaxy(gravsphere repo), 1.390014, 0.919852, 1.671158, 0.486553, 2.048083
Sculptor Dwarf Galaxy(J.Alvey data), 1.275476(1.611101), 0.806944(0.903678), 1.709784(2.639250), 0.479405(0.410259), 2.332694(4.524850)
Sculptor Dwarf Galaxy(J.Alvey data with sigma_DM calc), 1.351461(1.764181), , , , 
Leo I, 1.111787, 0.847890, 1.271214, 0.542504, 1.441943
Leo I(gravsphere repo), 1.142315, 0.828619, 1.348297, 0.524870, 1.538224
Leo I(J.Alvey data), 1.569729(3.021297), 1.139882(1.593902), 2.025736(0.767495), 0.721468(5.975409), 2.605893(10.099947) 
Leo I(J.Alvey data with sigma_DM calc), 1.666502(3.365580), , , , 
Carina dSph, 1.418884, 0.787319, 1.864979, 0.402517, 2.157783
Carina dSph(gravsphere repo), 1.640530, 1.051249, 2.057471, 0.598617, 2.384977
Carina dSph(J.Alvey data), 2.054398(3.060926), 1.081618(1.335317), 2.874277(6.090364), 0.163675(0.192312), 3.951047(10.664427)
Carina dSph(J.Alvey data with sigma_DM calc), 2.146639(3.372583), , , , 
