Name, m [keV], 1sl, 1su, 2sl, 2su
Andromeda V, 1.225203, 0.915404, 1.508837, 0.574870, 1.861966
Aquarius Dwarf, 1.044913, 0.625182, 1.545089, 0.361816, 2.047351
Bootes Dwarf Spheroidal Galaxy, 1.251969, 0.957058, 1.569541, 0.598466, 1.933975
Carina dSph, 1.225575, 0.689700, 1.822694, 0.381416, 2.185220
Cetus Dwarf Galaxy, 1.294163, 0.970726, 1.635405, 0.613755, 2.037867
Coma Dwarf Galaxy, 0.599414, 0.489215, 0.752504, 0.359349, 0.996540
CVn I dSph, 0.968654, 0.559121, 1.668725, 0.307919, 2.287392
Dra dSph, 0.975814, 0.599496, 1.361359, 0.350361, 1.723500
Fornax Dwarf Spheroidal, 0.801772, 0.564298, 1.081818, 0.346644, 1.301402 
Hercules Dwarf Galaxy, 3.071394, 1.712936, 4.951560, 0.766637, 7.366827
Leo A, 1.259895, 0.929238, 1.645328, 0.617181, 2.113699
NGC 6822, 0.190343, 0.112368, 0.391769, 0.064555, 0.614813
PegDIG, 0.398304, 0.271357, 0.518844, 0.163097, 0.668478
Sculptor Dwarf Galaxy, 1.767212, 1.262249, 2.169552, 0.819836, 2.463576 
Sextans dSph, 0.901622, 0.409543, 1.312771, 0.215919, 1.600582
Sgr dIG, 1.123976, 0.561329, 1.595040, 0.246589, 2.222813
UMi Galaxy, 1.886494, 1.134251, 2.610104, 0.558499, 3.220944
WLM Galaxy, 0.413615, 0.260354, 0.600323, 0.169230, 0.786573
Z 64-73, 1.205084, 0.917226, 1.458488, 0.580151, 1.702723
Z 126-111, 1.675490, 1.094263, 2.162382, 0.632936, 2.619640
